graph_num,C,p_1,beta_0,gamma_0
141,8.0,0.5927884361197613,-1.9634954071795863,-1.0471975271795861
142,8.0,0.6623797632095823,-1.17809725,1.04719754
143,9.0,0.757005443668094,-1.17809724,1.04719756
144,9.0,0.6855768722395226,2.74889357,-1.04719756
145,8.0,0.757005443668094,1.17809724,-1.04719756
146,9.0,0.8284340150966655,1.9634954,1.04719754
147,9.0,0.7248797632095823,1.17809724,-1.04719756
148,10.0,0.7248797632095823,2.74889357,-1.04719756
149,9.0,0.6623797632095823,1.17809724,-1.04719756
150,9.0,0.7248797632095823,-2.74889357,1.04719754
151,9.0,0.7873797632095823,-0.39269908,-1.04719756
152,10.0,0.6443375672974064,1.17809724,-1.04719755
153,10.0,0.699893122852962,1.17809724,-1.04719756
154,9.0,0.7554486784085176,1.17809724,-1.04719756
155,10.0,0.5721687836487033,2.74889356,-1.04719753
156,10.0,0.6436898816047911,1.96349541,1.04719758
157,9.0,0.7802824984374853,-0.39269909,-2.300524
158,11.0,0.6935844430555426,1.9634954,0.84106866
159,10.0,0.6436898816047911,-0.39269909,-1.04719756
160,9.0,0.6935844430555426,2.7488935671795867,-0.84106868
161,10.0,0.7177824984374854,0.39269908,2.30052398
162,10.0,0.7802824984374854,-2.74889357,0.84106868
163,10.0,0.7491399986110981,0.39269907,2.30052398
164,10.0,0.6935844430555426,2.74889357,-0.84106867
165,10.0,0.7491399986110981,0.39269908,2.30052399
166,11.0,0.8046955541666537,1.9634954,2.300524
167,10.0,0.6626031381545928,-0.39269908,-1.00500797
168,11.0,0.7181586937101483,2.74889356,-1.00500797
169,11.0,0.735645578976904,2.74889356,-1.04719752
170,12.0,0.581189881604791,-1.96349542,-1.04719757
171,10.0,0.6436898816047911,-1.96349541,-1.04719755
172,11.0,0.7454285304239169,-1.17809725,1.005008
173,9.0,0.8079285304239169,0.39269909,1.00500796
174,9.0,0.6626031381545929,-0.39269908,-1.00500798
175,9.0,0.7181586937101483,-2.74889357,1.00500798
176,11.0,0.7181586937101484,0.39269908,1.00500799
177,12.0,0.7737142492657039,-0.39269908,-1.00500797
178,11.0,0.6436898816047911,-1.96349541,-1.04719753
179,9.0,0.5811898816047911,-1.96349542,-1.047197547179586
180,10.0,0.643689881604791,1.17809723,-1.04719756
181,10.0,0.7454285304239169,1.9634954,1.00500795
182,11.0,0.8079285304239169,0.39269908,1.00500798
183,12.0,0.6626031381545928,-1.17809725,1.00500799
184,11.0,0.7181586937101483,0.39269908,1.00500797
185,11.0,0.7181586937101484,2.74889357,-1.00500797
186,12.0,0.7737142492657039,-1.17809725,1.00500796
187,8.0,0.6463428243391335,-2.74889357,1.00500798
188,10.0,0.6963428243391335,-1.17809724,1.00500798
189,10.0,0.6963428243391335,-2.74889357,1.00500798
190,11.0,0.7463428243391335,-1.96349541,-1.0050079871795863
191,10.0,0.6149519052838329,0.39269909,1.04719756
192,10.0,0.6832798947598143,1.9634954,1.04719753
193,11.0,0.6277243392042586,1.17809724,-1.04719758
194,11.0,0.6832798947598143,-2.7488935771795866,1.04719754
195,10.0,0.6901343914229778,-1.96349541,-0.82501365
196,11.0,0.7401343914229778,2.74889356,-0.82501365
197,10.0,0.6832798947598143,-0.39269909,-1.04719757
198,9.0,0.6277243392042586,1.17809724,-1.04719758
199,9.0,0.6832798947598143,-1.17809724,1.04719756
200,10.0,0.7668159904699752,1.96349541,0.82501364
201,10.0,0.8223715460255309,1.1780972420491,-0.8250136489715703
202,11.0,0.6901343914229778,0.39269908,0.82501365
203,11.0,0.7401343914229777,-0.39269908,-0.82501368
204,11.0,0.7401343914229778,2.74889356,-0.82501366
205,11.0,0.7901343914229779,1.96349541,0.82501365
